#Please preserve the linebreaks, as they correspond to parts between files.
[i]:  [6, 21]
ive : [1, 56, 10]
got : [1, 56, 13]
to : [1, 56, 20]
get : [1, 57, 1]
home : [1, 57, 14]

s: [2, 00, 00]
-ay : [2, 00, 5]
-: [2, 00, 9]
lend : [2, 00, 17]
me : [2, 1, 2]
a : [2, 1, 8]
c: [2, 1, 14]
-oat : [2, 1, 20]
-: [2, 2, 2]


youve: [2, 4, 16]
real: [2, 4, 23]
-ly: [2, 5, 7]
been: [2, 5, 11]
graaaaaaaaand: [2, 5, 23]

but: [2, 7, 12]
dont: [2, 8, 2]
you: [2, 8, 15]
s: [2, 8, 20]
-eeeeeeeeeeeeee?: [2, 9, 3]

theres: [2, 13, 4]
bound: [2, 13, 9]
to: [2, 13, 17]
be: [2, 13, 21]
talk: [2, 14, 9]
to: [2, 14, 21]
-mor: [2, 15, 11]
-row: [2, 15, 20]
-: [2, 16, 12] { sanity }

at : [2, 17, 9]
least : [2, 17, 14]
there : [2, 17, 22]
will : [2, 18, 1]
be : [2, 18, 10]
plen : [2, 18, 15]
-ty : [2, 18, 23]
im : [2, 19, 3]
-plied : [2, 19, 10]
-: [2, 20, 3] { sanity }
i : [2, 21, 12]
real : [2, 21, 19]
-ly : [2, 22, 1]
cant : [2, 22, 6]
s : [2, 22, 15]
-taaaaaaaaaaaaaaay : [2, 22, 20]

ba : [2, 24, 22] { sanity }
-[by] : [ 2, 25, 8] { sanity }
its: [2, 25, 12] { sanity }
[c]o[o]o[o]o[o]o[o]o[o]o[o]o[o]o[o]l[d]: [2, 25, 20] { sanity }

[ba]: [2, 28, 2] { sanity }
-by: [2, 28, 11] { sanity }
[i]ts: [2, 28, 15] { sanity }
cold: [2, 28, 23] { sanity }
[out]: [2, 29, 10] { sanity }
-s[i]i[i]i[i]i[i]i[i]i[i]i[i]i[i]i[i]i[i]i[i]i[i]i[d]e: [2, 29, 23] { sanity }
-: [2, 34, 1] { sanity}
